model,epoch,vs_baseline_wins,vs_baseline_total,vs_baseline_winrate,vs_random_wins,vs_random_total,vs_random_winrate,vs_prev_wins,vs_prev_total,vs_prev_winrate,elo_rating,elo_smooth,baseline_smooth,random_smooth,prev_smooth
20250930_0923-EXP_id03_epoch_0032,32,625,50,1250.0,575,50,1150.0,625,50,1250.0,413.1062560012566,413.171764145046,1666.6666666666667,1416.6666666666667,2083.3333333333335
20250925_1843-EXP_id03_epoch_0033,33,1250,50,2500.0,700,50,1400.0,0,50,0.0,397.04270997520103,407.77340932633115,1666.6666666666667,1300.0,1250.0
20251007_0643-EXP_id03_epoch_0033,33,1250,50,2500.0,700,50,1400.0,625,50,1250.0,412.9805792030978,407.70984839318515,2083.3333333333335,1316.6666666666667,833.3333333333334
20251007_0643-EXP_id03_epoch_0034,34,1250,50,2500.0,750,50,1500.0,1250,50,2500.0,412.91982062298473,407.6477032670945,2500.0,1433.3333333333333,1250.0
20251007_0644-EXP_id03_epoch_0035,35,1250,50,2500.0,675,50,1350.0,625,50,1250.0,412.86039276348765,412.9202641965234,2500.0,1416.6666666666667,1666.6666666666667
20251007_0644-EXP_id03_epoch_0036,36,0,50,0.0,425,50,850.0,625,50,1250.0,397.36396774715706,407.71472704454317,1666.6666666666667,1233.3333333333333,1666.6666666666667
20251007_0644-EXP_id03_epoch_0037,37,0,50,0.0,625,50,1250.0,625,50,1250.0,397.4915674876824,402.5719759994424,833.3333333333334,1150.0,1250.0
20251007_0644-EXP_id03_epoch_0038,38,1250,50,2500.0,675,50,1350.0,1250,50,2500.0,413.0690121086618,402.6415157811671,833.3333333333334,1150.0,1666.6666666666667
20251007_0645-EXP_id03_epoch_0039,39,625,50,1250.0,600,50,1200.0,625,50,1250.0,413.00609533938865,407.85555831191095,1250.0,1266.6666666666667,1666.6666666666667
20251007_0645-EXP_id03_epoch_0040,40,0,50,0.0,700,50,1400.0,0,50,0.0,381.4985591170788,402.5245555217098,1250.0,1316.6666666666667,1250.0
20251007_0645-EXP_id03_epoch_0041,41,0,50,0.0,825,50,1650.0,625,50,1250.0,397.6392634974614,397.38130598464295,416.6666666666667,1416.6666666666667,833.3333333333334
20251007_0646-EXP_id03_epoch_0042,42,0,50,0.0,725,50,1450.0,1250,50,2500.0,397.7867826134262,392.30820174265546,0.0,1500.0,1250.0
20251007_0646-EXP_id03_epoch_0043,43,625,50,1250.0,675,50,1350.0,625,50,1250.0,413.392701241473,402.9395824507869,416.6666666666667,1483.3333333333333,1666.6666666666667
20251007_0646-EXP_id03_epoch_0044,44,1250,50,2500.0,675,50,1350.0,625,50,1250.0,413.3212900427843,408.1669246325612,1250.0,1383.3333333333333,1666.6666666666667
20251007_0646-EXP_id03_epoch_0045,45,0,50,0.0,375,50,750.0,1250,50,2500.0,397.79643580937284,408.1701423645434,1250.0,1150.0,1666.6666666666667
20251007_0647-EXP_id03_epoch_0046,46,0,50,0.0,625,50,1250.0,1250,50,2500.0,397.9549155569348,403.0242138030307,833.3333333333334,1116.6666666666667,2083.3333333333335
